timestamps,TP9,AF7,AF8,TP10,Right AUX
1759592755.054,235.352,-30.273,-17.090,-40.527,0.000
1759592755.058,-143.066,-28.320,-20.996,-30.273,0.000
1759592755.062,-315.430,-28.809,-19.043,-29.297,0.000
1759592755.066,-24.414,-33.691,-14.160,-40.039,0.000
1759592755.070,258.789,-34.180,-15.137,-40.039,0.000
1759592755.073,-26.367,-30.762,-14.648,-29.297,0.000
1759592755.077,-313.965,-34.180,-14.648,-28.320,0.000
1759592755.081,-132.324,-33.203,-20.996,-34.668,0.000
1759592755.085,226.074,-28.809,-27.344,-45.898,0.000
1759592755.089,73.730,-31.250,-27.832,-35.645,0.000
1759592755.093,-291.504,-25.391,-17.090,-23.438,0.000
1759592755.097,-223.633,-18.066,-6.348,-36.133,0.000
1759592755.101,153.320,-22.949,-10.742,-49.805,0.000
1759592755.105,170.410,-27.832,-13.184,-43.457,0.000
1759592755.109,-231.445,-33.691,-9.766,-32.715,0.000
1759592755.113,-309.082,-37.598,-8.301,-40.527,0.000
1759592755.116,48.828,-34.668,-6.348,-39.062,0.000
1759592755.120,245.605,-33.691,-3.906,-31.250,0.000
1759592755.124,-117.676,-29.297,-3.906,-18.555,0.000
1759592755.128,-314.453,-24.902,-6.836,-15.625,0.000
1759592755.132,-42.969,-27.344,-13.184,-23.926,0.000
1759592755.136,252.930,-30.762,-15.137,-22.461,0.000
1759592755.140,3.418,-33.691,-11.719,-22.949,0.000
1759592755.144,-302.246,-36.133,-14.160,-27.344,0.000
1759592755.148,-153.809,-30.273,-14.648,-24.414,0.000
1759592755.152,222.656,-31.738,-11.719,-29.785,0.000
1759592755.155,116.699,-37.109,-7.324,-25.879,0.000
1759592755.159,-263.184,-34.668,-8.301,-14.160,0.000
1759592755.163,-234.863,-33.691,-11.230,-14.160,0.000
1759592755.167,148.438,-35.156,-4.395,-20.020,0.000
1759592755.171,198.730,-28.809,-4.883,-18.555,0.000
1759592755.175,-207.520,-28.809,-17.578,-12.695,0.000
1759592755.179,-297.363,-28.809,-22.461,-7.324,0.000
1759592755.183,37.598,-30.273,-13.672,-13.184,0.000
1759592755.187,262.695,-35.645,-7.812,-27.832,0.000
1759592755.191,-80.078,-35.645,-7.812,-16.113,0.000
1759592755.195,-312.988,-33.691,-3.418,-6.836,0.000
1759592755.198,-63.965,-31.738,-7.324,-15.137,0.000
1759592755.202,264.648,-30.762,-9.277,-24.414,0.000
1759592755.206,37.598,-30.273,-9.277,-14.648,0.000
1759592755.210,-299.316,-32.715,-16.113,-10.742,0.000
1759592755.214,-169.434,-35.156,-19.043,-14.160,0.000
1759592755.218,207.520,-35.156,-19.531,-24.414,0.000
1759592755.222,134.277,-36.133,-21.973,-20.996,0.000
1759592755.226,-262.207,-36.133,-19.531,-1.953,0.000
1759592755.230,-268.066,-33.203,-13.184,-13.672,0.000
1759592755.234,117.676,-30.762,-16.602,-30.273,0.000
1759592755.238,224.609,-32.227,-22.461,-24.414,0.000
1759592755.241,-177.246,-32.227,-22.461,-16.602,0.000
1759592755.245,-313.477,-28.320,-20.020,-20.020,0.000
1759592755.249,5.859,-30.762,-29.297,-26.367,0.000
1759592755.253,262.207,-28.320,-26.855,-23.926,0.000
1759592755.257,-48.828,-23.438,-18.066,-17.090,0.000
1759592755.261,-319.336,-25.391,-20.020,-23.926,0.000
1759592755.265,-102.539,-29.785,-20.508,-36.621,0.000
1759592755.269,253.418,-33.691,-20.996,-36.133,0.000
1759592755.273,55.664,-33.691,-19.531,-20.020,0.000
1759592755.277,-300.781,-31.738,-20.020,-23.926,0.000
1759592755.280,-197.754,-36.133,-23.438,-36.133,0.000
1759592755.284,198.730,-36.621,-25.391,-32.227,0.000
1759592755.288,170.898,-32.227,-26.855,-32.715,0.000
