timestamps,TP9,AF7,AF8,TP10,Right AUX
1759595983.776,62.988,11.719,36.621,0.488,0.000
1759595983.780,161.133,12.207,32.227,14.160,0.000
1759595983.784,-51.270,19.531,43.457,1.953,0.000
1759595983.788,-157.715,20.996,49.805,-11.719,0.000
1759595983.792,-0.977,18.066,43.457,-2.930,0.000
1759595983.796,183.105,20.508,41.992,15.625,0.000
1759595983.800,29.297,27.344,48.828,9.766,0.000
1759595983.804,-150.879,27.832,47.363,-2.441,0.000
1759595983.808,-63.965,22.949,41.016,0.000,0.000
1759595983.812,155.273,24.414,46.387,11.230,0.000
1759595983.815,86.914,28.809,48.340,6.836,0.000
1759595983.819,-132.324,23.438,44.922,2.441,0.000
1759595983.823,-114.746,23.926,42.969,-0.488,0.000
1759595983.827,101.562,24.414,42.969,3.906,0.000
1759595983.831,124.512,21.973,44.434,5.859,0.000
1759595983.835,-99.609,28.320,38.574,-7.812,0.000
1759595983.839,-146.973,32.227,41.992,0.977,0.000
1759595983.843,45.898,27.344,44.922,18.066,0.000
1759595983.847,168.945,27.344,48.340,10.742,0.000
1759595983.851,-25.391,28.320,44.922,2.441,0.000
1759595983.855,-159.668,24.902,34.668,-0.488,0.000
1759595983.858,-23.926,23.926,34.668,-3.418,0.000
1759595983.862,171.875,25.391,38.574,0.488,0.000
1759595983.866,35.645,24.414,41.504,-8.301,0.000
1759595983.870,-151.367,22.461,39.062,-11.719,0.000
1759595983.874,-77.148,22.461,40.527,-3.418,0.000
1759595983.878,146.973,23.438,45.410,8.301,0.000
1759595983.882,123.535,22.949,43.945,17.578,0.000
1759595983.886,-83.984,22.461,33.203,29.785,0.000
1759595983.890,-97.656,21.973,33.203,27.832,0.000
1759595983.894,97.656,21.484,46.875,13.184,0.000
1759595983.897,137.695,20.020,50.781,-5.371,0.000
1759595983.901,-83.984,18.066,52.734,-4.883,0.000
1759595983.905,-151.367,14.648,52.734,4.395,0.000
1759595983.909,33.203,11.719,46.387,9.277,0.000
1759595983.913,183.105,20.508,44.922,18.555,0.000
1759595983.917,-4.395,19.531,46.387,11.719,0.000
1759595983.921,-145.996,14.648,41.016,4.395,0.000
1759595983.925,-19.531,15.625,46.875,3.906,0.000
1759595983.929,176.758,12.695,51.758,23.438,0.000
1759595983.933,50.781,9.766,46.875,28.320,0.000
1759595983.937,-153.320,17.578,48.828,1.953,0.000
1759595983.940,-94.238,20.996,48.828,-2.441,0.000
1759595983.944,132.812,13.184,40.039,7.812,0.000
1759595983.948,124.023,14.648,40.039,10.742,0.000
1759595983.952,-98.145,13.184,49.316,5.859,0.000
1759595983.956,-113.770,8.789,57.129,13.672,0.000
1759595983.960,100.098,14.160,58.105,35.645,0.000
1759595983.964,173.340,15.625,53.711,31.738,0.000
1759595983.968,-55.664,10.742,48.828,11.230,0.000
1759595983.972,-143.555,11.719,51.270,8.789,0.000
1759595983.976,31.250,12.207,53.711,26.855,0.000
1759595983.979,180.176,15.625,46.875,26.855,0.000
1759595983.983,3.906,19.531,42.969,7.812,0.000
1759595983.987,-147.461,18.555,46.387,8.789,0.000
1759595983.991,-33.203,18.555,45.898,22.949,0.000
1759595983.995,172.852,17.090,46.387,29.785,0.000
1759595983.999,81.543,18.555,51.758,14.160,0.000
1759595984.003,-120.117,24.414,45.410,6.348,0.000
1759595984.007,-90.332,29.785,40.039,5.859,0.000
1759595984.011,126.953,31.250,54.688,7.812,0.000
1759595984.015,137.207,28.320,59.082,6.836,0.000
1759595984.019,-96.191,22.461,49.316,2.441,0.000
1759595984.022,-134.766,22.461,47.852,13.672,0.000
1759595984.026,68.359,26.367,51.270,9.766,0.000
1759595984.030,169.922,27.344,53.711,7.812,0.000
1759595984.034,-39.551,29.297,48.340,5.859,0.000
1759595984.038,-155.273,28.809,44.434,0.488,0.000
1759595984.042,-4.395,24.902,46.875,0.977,0.000
1759595984.046,178.223,24.414,45.898,3.418,0.000
1759595984.050,21.484,21.484,45.410,5.371,0.000
1759595984.054,-150.391,24.414,50.293,3.906,0.000
1759595984.058,-58.105,27.344,44.922,-4.395,0.000
1759595984.062,159.668,21.484,36.133,1.465,0.000
1759595984.065,87.891,16.113,42.969,1.953,0.000
1759595984.069,-137.207,13.672,46.875,-13.184,0.000
1759595984.073,-110.840,15.137,48.828,-15.137,0.000
1759595984.077,106.445,11.230,45.898,2.930,0.000
1759595984.081,134.277,8.301,46.875,4.395,0.000
1759595984.085,-93.262,9.766,45.410,-7.812,0.000
1759595984.089,-151.855,14.648,41.992,-3.906,0.000
1759595984.093,57.129,22.461,41.504,14.648,0.000
1759595984.097,183.105,19.531,41.504,21.973,0.000
1759595984.101,-24.902,19.043,49.805,9.766,0.000
1759595984.104,-157.227,17.090,56.152,3.418,0.000
1759595984.108,-18.066,10.254,49.316,11.719,0.000
1759595984.112,182.129,15.137,43.945,23.438,0.000
1759595984.116,45.410,19.531,54.688,15.137,0.000
1759595984.120,-150.879,19.043,58.594,6.836,0.000
1759595984.124,-76.660,17.578,52.246,7.812,0.000
1759595984.128,145.996,15.625,45.898,6.836,0.000
1759595984.132,99.609,15.625,42.969,5.859,0.000
1759595984.136,-126.953,12.207,42.480,9.766,0.000
1759595984.140,-128.418,11.230,41.992,9.277,0.000
1759595984.144,79.102,12.207,44.922,1.953,0.000
1759595984.147,129.883,8.301,43.945,-0.488,0.000
1759595984.151,-93.262,13.672,44.922,-1.465,0.000
1759595984.155,-162.109,17.090,41.992,-1.465,0.000
1759595984.159,22.949,10.254,39.062,10.254,0.000
